     1	       23.8
     2	       35.2
     3	       41.4
     4	       44.3
     5	       46.7
     6	       49.4
     7	       50.2
     8	       51.6
     9	       51.7
    10	       52.5
    11	       53.2
    12	       53.9
    13	       53.8
    14	       54.7
    15	       55.0
    16	       55.3
    17	       55.8
    18	       56.2
    19	       56.4
    20	       56.5
    21	       56.6
    22	       56.9
    23	       57.0
    24	       57.2
    25	       57.2
    26	       57.3
    27	       57.2
    28	       57.1
    29	       57.2
    30	       57.2
    31	       57.3
    32	       57.3
    33	       57.7
    34	       57.8
    35	       57.8
    36	       57.8
    37	       58.1
    38	       58.1
    39	       58.4
    40	       58.3
    41	       58.2
    42	       58.2
    43	       58.3
    44	       58.4
    45	       58.4
    46	       58.3
    47	       58.3
    48	       58.5
    49	       58.6
    50	       58.5
    51	       58.6
    52	       58.6
    53	       58.6
    54	       58.7
    55	       58.8
    56	       58.8
    57	       58.9
    58	       58.9
    59	       58.9
    60	       58.8
